,Id,Search Keyword,URL,Datetime,Tweet,Sentiment Label,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified,User Followers Count,User Statuses Count,Year,Month,Day,Kota
24469,1513834472386359296,PPN 11%,https://twitter.com/IndiHomeCare/status/1513834472386359296,2022-04-12 11:00:38,"@bumiasia07 Halo, Kak Kanit. Homie bantu informasikan harga berlangganan Vidio adalah Rp29 .00 0,00 sudah termasuk PPN 11%. Yuk segera registrasi melalui IndiHome TV-nya agar bisa menikmati siaran menariknya.... https://t.co/MfpR1E8M63",2,IndiHomeCare,0,0,0,0,0,in,Sociomedio Pro Webhook,,,,,bumiasia07,1,['bumiasia07'],True,162143,745068,2022,4,12,nan
25004,1512441841408307203,PPN 11%,https://twitter.com/william_dakhi/status/1512441841408307203,2022-04-08 14:46:49,"@Gesichtspunkt_ @Fjrnrm @kumparan Yg kena PPN 11% itu biaya administrasi (fee) top up, bukan nominal saldo yg diisi. Pajaknya kemungkinan sangat besar bakal  dikenakan ke pelanggannya pastinya.",2,william_dakhi,0,0,1,10,0,in,Twitter for Android,,,,,diahpeweix8,2,"['Fjrnrm', 'kumparan']",False,30,6249,2022,4,8,nan
25666,1511679154005381125,PPN 11%,https://twitter.com/SayNoTo10/status/1511679154005381125,2022-04-06 12:16:10,"@okezonenews 10 persen aja lah, jangan 11 persen kayak PPN aja",3,SayNoTo10,0,0,0,0,0,in,Twitter for Android,,,,,okezonenews,1,['okezonenews'],False,99,2552,2022,4,6,nan
26446,1510610903208988674,PPN 11%,https://twitter.com/VettyVutty/status/1510610903208988674,2022-04-03 13:31:19,"Mulai 1 April 2022 Jumat ini, Pemerintah resmi menaikkan Pajak Pertambahan Nilai (PPN) dari 10 persen menjadi 11 persen sesuai dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP)

*KSP MOELDOKO https://t.co/YMZclQy7BM",1,VettyVutty,0,0,8,8,0,in,Twitter Web App,,,,,VettyVutty,0,,False,873,11477,2022,4,3,nan
28028,1509765060171759619,PPN 11%,https://twitter.com/yoonbeniyo/status/1509765060171759619,2022-04-01 05:30:15,Buset ppn 11% 😭. Ini kenapa sih indonesiaa. Takut bange loh😭.,3,yoonbeniyo,0,0,0,1,0,in,Twitter for iPhone,,,,,,0,,False,1205,6555,2022,4,1,nan
32366,1501865993244581892,PPN 11%,https://twitter.com/viianiza/status/1501865993244581892,2022-03-10 10:22:10,Ya Allah.. ppn pascabayar jadi 11% 🥲,3,viianiza,0,0,0,0,0,in,Twitter for Android,,,,,,0,,False,422,25960,2022,3,10,nan
33430,1463144886278909952,PPN 11%,https://twitter.com/humas_smd/status/1463144886278909952,2021-11-23 13:58:19,"Pemerintah Daerah Kabupaten Sumedang menerima kunjungan Staf Ahli Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional (PPN/Bappenas). Selasa, (23/11/2021) https://t.co/1K5treUJiT",1,humas_smd,0,0,0,1,0,in,Twitter for Android,,,,,,0,,False,1251,11869,2021,11,23,nan
33788,1455111612860284931,PPN 11%,https://twitter.com/mamaaini_11/status/1455111612860284931,2021-11-01 09:56:57,@kepat_ppn โห หนูพึ่งเห็นน🥺,1,mamaaini_11,0,0,0,0,0,th,Twitter for Android,,,,,kepat_ppn,1,['kepat_ppn'],False,643,24629,2021,11,1,nan
42558,1519729175296299008,Kenaikan PPN,https://twitter.com/fahmisahab8/status/1519729175296299008,2022-04-28 17:24:05,@frengky_batak84 @wingkyp @jokowi Saya dapat enail dari pinjol online!! Mereka akan menyesuaikan kenaikan ppn ini!! Kasian asn yg pada kreditan!! Ancor sudah,3,fahmisahab8,0,0,0,0,0,in,Twitter for iPhone,,,,,frengky_batak84,3,"['frengky_batak84', 'wingkyp', 'jokowi']",False,24,704,2022,4,28,nan
43809,1510054967578861571,Kenaikan PPN,https://twitter.com/erwinsyahrony/status/1510054967578861571,2022-04-02 00:42:14,"@msaid_didu Kenaikan PPN digunakan utk memperbaiki ekonomi negara, akibat pendemi global. Tdk cm Indonesia, hampir semua negara mengalami. Itu pandangan saya.",3,erwinsyahrony,0,0,0,0,0,in,Twitter Web App,,,,,msaid_didu,1,['msaid_didu'],False,340,13596,2022,4,2,nan
44020,1509768499077730307,Kenaikan PPN,https://twitter.com/rahayupuspa7/status/1509768499077730307,2022-04-01 05:43:54,"Walaupun terjadi kenaikan PPN, Pemerintah akan terus memantau perkembangan harga di masyarakat.",2,rahayupuspa7,0,0,3,3,0,in,Twitter for iPhone,,,,,rahayupuspa7,0,,False,1899,1489,2022,4,1,nan
46231,1391277654934917121,Kenaikan PPN,https://twitter.com/Bisniscom/status/1391277654934917121,2021-05-09 06:23:36,"Usulan Kenaikan PPN, DPR: Menjaga APBN Tetap Sehat https://t.co/SmLVqJ1epY",2,Bisniscom,0,1,0,0,2,in,dlvr.it,,,,,,0,,True,1152300,1447513,2021,5,9,nan
